Season,Month,Date, Temperature 
Summer,Feb,11,4
Summer,Feb,12,3.9
Summer,Feb,13,3.9
Summer,Feb,14,4
Summer,Feb,15,3.8
Summer,Feb,16,4
Summer,Feb,17,4.1
Summer,Feb,18,4
Summer,Feb,19,3.8
Summer,Feb,20,3.9
Summer,Feb,21,3.9
Summer,Feb,22,4.6
Summer,Feb,23,4.1
Summer,Feb,24,4.1
Summer,Feb,25,3.9
Summer,Feb,26,3.8
Summer,Feb,27,3.8
Summer,Feb,28,3.9
Summer,Mar,1,3.9
Summer,Mar,2,3.9
Summer,Mar,3,3.9
Summer,Mar,4,4.1
Summer,Mar,5,3.9
Summer,Mar,6,3.9
Summer,Mar,7,4.1
Summer,Mar,8,4
Summer,Mar,9,4.1
Summer,Mar,10,3.9
Summer,Mar,11,4.1
Summer,Mar,12,3.8
Summer,Mar,13,4.2
Summer,Mar,14,4.2
Summer,Mar,15,3.8
Summer,Mar,16,3.9
Summer,Mar,17,3.9
